Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED_PTH","LED_D5.0mm",-254.725000,-130.000000,0.000000,bottom
"P1","9V_IN","WirePad_22AWG",-219.500000,-127.000000,180.000000,bottom
"P6","VOUT_NEG","WirePad_22AWG",-252.000000,-120.500000,0.000000,bottom
"P7","VOUT_POS","WirePad_22AWG",-248.500000,-120.500000,180.000000,bottom
"P8","GND","WirePad_22AWG",-219.500000,-130.500000,180.000000,bottom
"SW1","SW_3PDT","SW_STOMP_3PDT",-240.000000,-130.000000,180.000000,bottom
